BenchmarkJSON/EscapeRuns/Marshal    49826	      5963 ns/op	 692.66 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal    51123	      4683 ns/op	 881.85 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal    52672	      4705 ns/op	 877.73 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal    52134	      5581 ns/op	 739.97 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal    32922	      7610 ns/op	 542.70 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal    32066	      7116 ns/op	 580.36 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal    54924	      4455 ns/op	 926.96 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    21118	     11024 ns/op	 376.10 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    47956	      5301 ns/op	 782.17 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    32704	      6800 ns/op	 609.71 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    47841	      4353 ns/op	 952.40 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    47894	      4820 ns/op	 860.22 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    48984	      4170 ns/op	 994.21 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    50152	      4668 ns/op	 888.25 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    56642	      4399 ns/op	 942.39 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    47079	      4471 ns/op	 927.21 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal    58542	      3934 ns/op	1053.90 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/GolangSource/Marshal       25	   8225402 ns/op	 235.91 MB/s	 2365226 B/op	       3 allocs/op
BenchmarkJSON/GolangSource/Marshal       34	   7498183 ns/op	 258.79 MB/s	 2253072 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       19	  15862525 ns/op	 122.33 MB/s	 2499026 B/op	       3 allocs/op
BenchmarkJSON/GolangSource/Marshal       33	   6919140 ns/op	 280.45 MB/s	 2262513 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       33	   6929956 ns/op	 280.01 MB/s	 2262509 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       33	   6767576 ns/op	 286.73 MB/s	 2262513 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       34	   7419085 ns/op	 261.55 MB/s	 2253072 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       33	   6980722 ns/op	 277.98 MB/s	 2262513 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       32	   7082667 ns/op	 273.97 MB/s	 2272541 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       19	  12738948 ns/op	 152.33 MB/s	 2499033 B/op	       4 allocs/op
BenchmarkJSON/StringEscaped/Marshal     6358	     37654 ns/op	1117.07 MB/s	   18445 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5395	     43372 ns/op	 969.80 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5125	     44867 ns/op	 937.48 MB/s	   18449 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     6072	     39527 ns/op	1064.14 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5319	     43613 ns/op	 964.43 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5798	     40249 ns/op	1045.05 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     4532	     45963 ns/op	 915.13 MB/s	   18451 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5485	     38876 ns/op	1081.94 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5049	     45708 ns/op	 920.23 MB/s	   18449 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5941	     38515 ns/op	1092.10 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5185	     44005 ns/op	 411.86 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5656	     37932 ns/op	 477.81 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5438	     40681 ns/op	 445.51 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5168	     38960 ns/op	 465.20 MB/s	   18449 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5659	     38622 ns/op	 469.27 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     6154	     38315 ns/op	 473.03 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5359	     39901 ns/op	 454.22 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5968	     40698 ns/op	 445.33 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5622	     37741 ns/op	 480.23 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5330	     38143 ns/op	 475.16 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      127	   1665920 ns/op	 379.08 MB/s	  530072 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      175	   1349639 ns/op	 467.91 MB/s	  524586 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      178	   1337157 ns/op	 472.28 MB/s	  524341 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      154	   1381996 ns/op	 456.96 MB/s	  526566 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      171	   1378880 ns/op	 457.99 MB/s	  524925 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      164	   1431332 ns/op	 441.21 MB/s	  525557 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      166	   1397608 ns/op	 451.85 MB/s	  525374 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      169	   1405403 ns/op	 449.35 MB/s	  525101 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      175	   1486961 ns/op	 424.70 MB/s	  524586 B/op	      89 allocs/op
