BenchmarkJSON/EscapeRuns/Marshal    10000	    132006 ns/op	  31.29 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal   197959	      1203 ns/op	3433.12 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal   193638	      1208 ns/op	3419.02 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal   132573	      1818 ns/op	2271.97 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal   185708	      1287 ns/op	3208.87 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal   137577	      1708 ns/op	2417.91 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Marshal   129930	      1698 ns/op	2432.54 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   199552	      1428 ns/op	2902.45 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   155072	      1510 ns/op	2745.35 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   185467	      1235 ns/op	3356.64 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   198932	      1197 ns/op	3462.31 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   211983	      1127 ns/op	3678.71 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   203264	      1175 ns/op	3527.67 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   157620	      1408 ns/op	2945.11 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   164188	      1222 ns/op	3393.62 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   178759	      1419 ns/op	2920.78 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   107163	      1933 ns/op	2144.48 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/GolangSource/Marshal       34	   6820164 ns/op	 284.52 MB/s	 2253072 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       13	  17872675 ns/op	 108.57 MB/s	 2756333 B/op	       5 allocs/op
BenchmarkJSON/GolangSource/Marshal       18	  15162636 ns/op	 127.98 MB/s	 2530007 B/op	       4 allocs/op
BenchmarkJSON/GolangSource/Marshal       31	   7348110 ns/op	 264.08 MB/s	 2283219 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       33	   6811670 ns/op	 284.87 MB/s	 2262513 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       32	   7068562 ns/op	 274.52 MB/s	 2272545 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       33	   7772807 ns/op	 249.65 MB/s	 2262513 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       32	   7060765 ns/op	 274.82 MB/s	 2272541 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       31	   6882752 ns/op	 281.93 MB/s	 2283219 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       33	   6920198 ns/op	 280.41 MB/s	 2262513 B/op	       2 allocs/op
BenchmarkJSON/StringEscaped/Marshal     6098	     41199 ns/op	1020.95 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     4908	     41278 ns/op	1018.99 MB/s	   18449 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5653	     37246 ns/op	1129.31 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     6207	     38196 ns/op	1101.21 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     6066	     36520 ns/op	1151.77 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     6307	     38009 ns/op	1106.63 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5265	     70743 ns/op	 594.57 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5625	     41278 ns/op	1018.99 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     6228	     37986 ns/op	1107.31 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     6363	     37900 ns/op	1109.81 MB/s	   18445 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5578	     38321 ns/op	 472.95 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     6544	     36482 ns/op	 496.79 MB/s	   18445 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     4724	     44735 ns/op	 405.14 MB/s	   18450 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5892	     43705 ns/op	 414.69 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5989	     40687 ns/op	 445.45 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     6266	     38001 ns/op	 476.94 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     6448	     37626 ns/op	 481.69 MB/s	   18445 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5344	     41531 ns/op	 436.40 MB/s	   18448 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     6177	     38256 ns/op	 473.75 MB/s	   18446 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     5848	     40705 ns/op	 445.25 MB/s	   18447 B/op	       1 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      170	   1374376 ns/op	 459.49 MB/s	  525013 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      150	   1501289 ns/op	 420.65 MB/s	  527005 B/op	      89 allocs/op
