BenchmarkJSON/UTF8Emoji/Marshal   118545	      2547 ns/op	1608.78 MB/s	      2558 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   133574	      2498 ns/op	1640.28 MB/s	      2505 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   122202	      2545 ns/op	1609.90 MB/s	      2557 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   131179	      2707 ns/op	1514.07 MB/s	      2716 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   133300	      2473 ns/op	1657.36 MB/s	      2485 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   129236	      2591 ns/op	1581.72 MB/s	      2609 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   134865	      2532 ns/op	1618.47 MB/s	      2557 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   130816	      2515 ns/op	1629.74 MB/s	      2526 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    69151	      4684 ns/op	 874.92 MB/s	      4705 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    71020	      4783 ns/op	 856.75 MB/s	      4808 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    69274	      4752 ns/op	 862.41 MB/s	      4778 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    75406	      4585 ns/op	 893.78 MB/s	      4601 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    74745	      4592 ns/op	 892.45 MB/s	      4609 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    80852	      4401 ns/op	 931.18 MB/s	      4417 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    77193	      4629 ns/op	 885.30 MB/s	      4651 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    76140	      4668 ns/op	 877.94 MB/s	      4685 cpu-ns/op	    4096 B/op	       1 allocs/op
