BenchmarkJSON/UTF8Emoji/Marshal   103464	      3509 ns/op	1167.72 MB/s	      3528 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    98641	      3462 ns/op	1183.81 MB/s	      3482 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    98751	      3368 ns/op	1216.64 MB/s	      3383 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   102804	      3400 ns/op	1205.25 MB/s	      3418 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   101809	      3313 ns/op	1236.94 MB/s	      3338 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   109934	      3194 ns/op	1283.12 MB/s	      3206 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   106951	      3448 ns/op	1188.54 MB/s	      3477 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    93908	      3451 ns/op	1187.36 MB/s	      3468 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    57340	      6245 ns/op	 656.24 MB/s	      6265 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    56768	      6043 ns/op	 678.15 MB/s	      6075 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    57452	      6091 ns/op	 672.84 MB/s	      6120 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    56347	      6090 ns/op	 672.96 MB/s	      6112 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    57271	      6292 ns/op	 651.35 MB/s	      6315 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    50014	      6377 ns/op	 642.66 MB/s	      6416 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    54381	      6243 ns/op	 656.41 MB/s	      6268 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    49710	      6202 ns/op	 660.78 MB/s	      6235 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    57122	      5907 ns/op	 693.71 MB/s	      5937 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    59366	      5834 ns/op	 702.47 MB/s	      5858 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    36837	      8954 ns/op	1143.80 MB/s	      9007 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    37147	      8765 ns/op	1168.50 MB/s	      8788 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    40279	      8584 ns/op	1193.12 MB/s	      8617 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    39714	      8378 ns/op	1222.43 MB/s	      8405 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    38869	      8639 ns/op	1185.54 MB/s	      8679 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    37521	      8805 ns/op	1163.26 MB/s	      8908 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    44072	      8553 ns/op	1197.50 MB/s	      8590 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    39074	      8698 ns/op	1177.46 MB/s	      8742 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    43216	      8537 ns/op	1199.72 MB/s	      8579 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    43574	      8134 ns/op	1259.08 MB/s	      8166 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    22897	     15917 ns/op	 643.48 MB/s	     15982 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    24382	     14979 ns/op	 683.74 MB/s	     15047 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    22533	     15503 ns/op	 660.63 MB/s	     15546 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    22110	     15838 ns/op	 646.69 MB/s	     15901 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    21928	     15882 ns/op	 644.90 MB/s	     15947 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    23898	     14957 ns/op	 684.75 MB/s	     15049 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    23220	     15497 ns/op	 660.92 MB/s	     15571 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    23500	     15387 ns/op	 665.64 MB/s	     15435 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    22798	     15574 ns/op	 657.63 MB/s	     15646 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    22618	     15322 ns/op	 668.43 MB/s	     15375 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    18244	     19806 ns/op	 915.07 MB/s	     19881 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    17193	     20187 ns/op	 897.79 MB/s	     20270 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    17397	     19991 ns/op	 906.60 MB/s	     20097 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    19228	     18803 ns/op	 963.86 MB/s	     18877 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    13014	     27733 ns/op	 653.52 MB/s	     27811 cpu-ns/op	   18439 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    18082	     20109 ns/op	 901.29 MB/s	     20194 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    17047	     20517 ns/op	 883.37 MB/s	     20616 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    18078	     19256 ns/op	 941.20 MB/s	     19314 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    19045	     18792 ns/op	 964.47 MB/s	     18906 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    18973	     18753 ns/op	 966.47 MB/s	     18816 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9283	     40358 ns/op	 449.08 MB/s	     40617 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     4298	     78738 ns/op	 230.18 MB/s	     79323 cpu-ns/op	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7512	     46236 ns/op	 391.99 MB/s	     46423 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8760	     39621 ns/op	 457.43 MB/s	     39737 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9021	     40115 ns/op	 451.80 MB/s	     40243 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8235	     39749 ns/op	 455.96 MB/s	     39884 cpu-ns/op	   15473 B/op	      49 allocs/op
