BenchmarkJSON/GolangSource/Unmarshal       25	  14674624 ns/op	 132.23 MB/s	  14716800 cpu-ns/op	  389936 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       26	  14680526 ns/op	 132.18 MB/s	  14714115 cpu-ns/op	  389926 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       26	  14194881 ns/op	 136.70 MB/s	  14225769 cpu-ns/op	  389926 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  14221428 ns/op	 136.45 MB/s	  14252864 cpu-ns/op	  389976 B/op	   11673 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  14901415 ns/op	 130.22 MB/s	  14935455 cpu-ns/op	  389975 B/op	   11673 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  17762048 ns/op	 109.25 MB/s	  17783000 cpu-ns/op	  389936 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  15100486 ns/op	 128.50 MB/s	  15135792 cpu-ns/op	  389948 B/op	   11672 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2813283 ns/op	 224.48 MB/s	   2823103 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2714424 ns/op	 232.65 MB/s	   2724685 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      128	   2747602 ns/op	 229.84 MB/s	   2745703 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      133	   2662049 ns/op	 237.23 MB/s	   2668338 cpu-ns/op	  209427 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      132	   2678963 ns/op	 235.73 MB/s	   2687265 cpu-ns/op	  209428 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      135	   2710960 ns/op	 232.95 MB/s	   2718052 cpu-ns/op	  209428 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2817604 ns/op	 224.13 MB/s	   2824222 cpu-ns/op	  209429 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      122	   2739991 ns/op	 230.48 MB/s	   2746254 cpu-ns/op	  209431 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3669873 ns/op	 172.08 MB/s	   4234310 cpu-ns/op	  209445 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3465148 ns/op	 182.25 MB/s	   3534520 cpu-ns/op	  209442 B/op	    2533 allocs/op
