BenchmarkJSON/GolangSource/Unmarshal       24	  15021135 ns/op	 129.18 MB/s	  15076083 cpu-ns/op	  390300 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  14466463 ns/op	 134.14 MB/s	  14505952 cpu-ns/op	  390341 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       20	  15067797 ns/op	 128.78 MB/s	  15071750 cpu-ns/op	  390358 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  14808759 ns/op	 131.04 MB/s	  14841238 cpu-ns/op	  390342 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  14345690 ns/op	 135.27 MB/s	  14379280 cpu-ns/op	  390288 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14819366 ns/op	 130.94 MB/s	  14819917 cpu-ns/op	  390300 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14191484 ns/op	 136.73 MB/s	  14219667 cpu-ns/op	  390300 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  14998723 ns/op	 129.38 MB/s	  15046280 cpu-ns/op	  390288 B/op	   11707 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2778997 ns/op	 227.25 MB/s	   2786206 cpu-ns/op	  209356 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      129	   2778780 ns/op	 227.26 MB/s	   2785798 cpu-ns/op	  209356 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2775257 ns/op	 227.55 MB/s	   2783008 cpu-ns/op	  209353 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      127	   2763207 ns/op	 228.54 MB/s	   2772591 cpu-ns/op	  209357 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       39	   9255200 ns/op	  68.23 MB/s	   9180949 cpu-ns/op	  209486 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      129	   2820751 ns/op	 223.88 MB/s	   2826783 cpu-ns/op	  209355 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      136	   2613162 ns/op	 241.67 MB/s	   2616206 cpu-ns/op	  209353 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3610205 ns/op	 174.92 MB/s	   3618880 cpu-ns/op	  209370 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      127	   2756363 ns/op	 229.11 MB/s	   2740654 cpu-ns/op	  209358 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      135	   2659585 ns/op	 237.45 MB/s	   2667119 cpu-ns/op	  209355 B/op	    2530 allocs/op
