BenchmarkJSON/TwitterStatus/Unmarshal       68	   5676686 ns/op	 111.25 MB/s	  209407 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2846630 ns/op	 221.85 MB/s	  209360 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      132	   2669706 ns/op	 236.55 MB/s	  209357 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      135	   2673271 ns/op	 236.23 MB/s	  209354 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      138	   2603636 ns/op	 242.55 MB/s	  209355 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2686577 ns/op	 235.06 MB/s	  209357 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3019551 ns/op	 209.14 MB/s	  209372 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      128	   2875168 ns/op	 219.64 MB/s	  209359 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       96	   3929409 ns/op	  68.82 MB/s	      57 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      148	   2448415 ns/op	 110.44 MB/s	      37 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      121	   2803843 ns/op	  96.44 MB/s	      45 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      144	   2468011 ns/op	 109.56 MB/s	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       87	   4239336 ns/op	  63.78 MB/s	      63 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      141	   2479233 ns/op	 109.07 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      128	   2725553 ns/op	  99.21 MB/s	      43 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      153	   2347676 ns/op	 115.18 MB/s	      36 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      140	   2564481 ns/op	 105.44 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      100	   3254827 ns/op	  83.08 MB/s	      55 B/op	       0 allocs/op
