BenchmarkJSON/TwitterStatus/Unmarshal       57	   7219623 ns/op	  87.47 MB/s	  209428 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   6135023 ns/op	 102.94 MB/s	  209375 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      132	   2675405 ns/op	 236.04 MB/s	  209357 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2919257 ns/op	 216.33 MB/s	  209360 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      132	   2775485 ns/op	 227.53 MB/s	  209357 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2826485 ns/op	 223.43 MB/s	  209358 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      121	   2912006 ns/op	 216.87 MB/s	  209362 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      132	   2688244 ns/op	 234.92 MB/s	  209357 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      100	   3378045 ns/op	  80.05 MB/s	      55 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      141	   2519081 ns/op	 107.34 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      140	   2535490 ns/op	 106.65 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      142	   2519810 ns/op	 107.31 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      140	   2576065 ns/op	 104.97 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      146	   2439209 ns/op	 110.86 MB/s	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      129	   2799952 ns/op	  96.57 MB/s	      43 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      144	   2478593 ns/op	 109.10 MB/s	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      145	   2476071 ns/op	 109.21 MB/s	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      136	   2608264 ns/op	 103.67 MB/s	      40 B/op	       0 allocs/op
