BenchmarkJSON/UTF8CJK/Marshal    41774	      8301 ns/op	1017.92 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    39183	      8298 ns/op	1018.36 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    40627	      7704 ns/op	1096.85 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    43078	      8066 ns/op	1047.60 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    42080	      7998 ns/op	1056.51 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    41335	      8637 ns/op	 978.33 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    35030	      9241 ns/op	 914.40 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    42057	      7879 ns/op	1072.42 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    90308	      3843 ns/op	1066.49 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   103203	      3613 ns/op	1134.33 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    90897	      3679 ns/op	1113.87 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    89642	      3486 ns/op	1175.48 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    89200	      3938 ns/op	1040.55 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    96312	      3717 ns/op	1102.57 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    90952	      3568 ns/op	1148.67 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    67347	      4486 ns/op	 913.57 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    98558	      3541 ns/op	1157.21 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   102151	      3431 ns/op	1194.44 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    36370	      9345 ns/op	1096.01 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    41622	      9415 ns/op	1087.83 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    37828	      9010 ns/op	1136.71 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    38178	      9165 ns/op	1117.56 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    40465	      8720 ns/op	1174.54 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    35428	      9361 ns/op	1094.06 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    35446	      9406 ns/op	1088.93 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    40718	      9041 ns/op	1132.82 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    41161	      8963 ns/op	1142.74 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    34501	      9213 ns/op	1111.75 MB/s	   10880 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    13578	     25517 ns/op	 710.28 MB/s	   18439 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    15986	     22521 ns/op	 804.75 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    15080	     23430 ns/op	 773.54 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    14852	     24334 ns/op	 744.81 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    15091	     22904 ns/op	 791.29 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    13927	     24921 ns/op	 727.27 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    10000	    108364 ns/op	 167.25 MB/s	   18441 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    13714	     24163 ns/op	 750.08 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    15758	     22041 ns/op	 822.28 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    12488	     27616 ns/op	 656.29 MB/s	   18439 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal    14206	     26926 ns/op	1562.15 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal    12421	     28432 ns/op	1479.41 MB/s	   18439 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal    16040	     21641 ns/op	1943.62 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     2168	    237114 ns/op	 177.39 MB/s	   18471 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal    17619	     20027 ns/op	2100.23 MB/s	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal    17748	     19787 ns/op	2125.78 MB/s	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal    10000	     52281 ns/op	 804.54 MB/s	   18441 B/op	       1 allocs/op
