BenchmarkJSON/UTF8CJK/Marshal    17832	     20657 ns/op	 409.06 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    22058	     16399 ns/op	 515.27 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    18452	     22609 ns/op	 373.74 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    21230	     16496 ns/op	 512.24 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    20450	     17739 ns/op	 476.35 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    19131	     18696 ns/op	 451.98 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    16551	     20995 ns/op	 402.48 MB/s	    9473 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    20701	     16796 ns/op	 503.10 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    48952	      7582 ns/op	 540.50 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    26854	     12626 ns/op	 324.58 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    46124	     16389 ns/op	 250.05 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    54542	      6543 ns/op	 626.31 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    54242	      7573 ns/op	 541.15 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    45199	      7684 ns/op	 533.32 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    48361	      7798 ns/op	 525.52 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    43021	      8070 ns/op	 507.84 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    48964	     11497 ns/op	 356.44 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    53857	      6557 ns/op	 625.01 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    14457	     24758 ns/op	 413.69 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    12702	     27419 ns/op	 373.54 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    13923	     25820 ns/op	 396.67 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    14499	     25277 ns/op	 405.19 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    13226	     29689 ns/op	 344.98 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    11659	     30445 ns/op	 336.41 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    12262	     30492 ns/op	 335.89 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    10000	     31007 ns/op	 330.31 MB/s	   10881 B/op	       1 allocs/op
