comparison,case,op,repeat,binary,n,Ir,Bc,Bcm,Bi,Bim
cache-counts,StringEnums,Unmarshal,1,before,3,2402315.6666666665,361285.3333333333,6989.333333333333,1543.0,515.3333333333334
cache-counts,StringEnums,Unmarshal,2,before,3,2403827.6666666665,361793.3333333333,6991.0,1543.0,515.3333333333334
cache-counts,StringEnums,Unmarshal,2,cache,3,2242118.0,331239.3333333333,7825.333333333333,1541.6666666666667,514.6666666666666
cache-counts,Records,Unmarshal,0,before,3,3218885.0,488958.0,16994.333333333332,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,0,cache,3,3217960.0,489060.0,17266.0,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,1,cache,3,3217936.0,489056.0,17265.666666666668,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,1,before,3,3218861.0,488954.0,16994.0,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,2,before,3,3218861.0,488954.0,16994.0,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,2,cache,3,3217767.0,489032.3333333333,17261.666666666668,2566.3333333333335,1794.6666666666667
cache-counts,Small,Unmarshal,0,before,200,9755.165,1553.355,81.375,12.01,4.04
cache-counts,Small,Unmarshal,0,cache,200,9755.165,1553.355,81.375,12.01,4.04
cache-counts,Small,Unmarshal,1,cache,200,9761.165,1555.355,82.395,12.01,4.04
cache-counts,Small,Unmarshal,1,before,200,9755.165,1553.355,81.375,12.01,4.04
cache-counts,Small,Unmarshal,2,before,200,9779.165,1557.355,81.39,12.01,4.04
cache-counts,Small,Unmarshal,2,cache,200,9755.165,1553.355,81.375,12.01,4.04
cache-counts,ASCII8,Unmarshal,0,before,200,1733.165,279.355,7.905,5.01,0.035
cache-counts,ASCII8,Unmarshal,0,cache,200,1722.165,280.355,7.915,5.01,0.035
cache-counts,ASCII8,Unmarshal,1,cache,200,1722.165,280.355,7.915,5.01,0.035
cache-counts,ASCII8,Unmarshal,1,before,200,1733.165,279.355,7.905,5.01,0.035
cache-counts,ASCII8,Unmarshal,2,before,200,1733.165,279.355,7.905,5.01,0.035
cache-counts,ASCII8,Unmarshal,2,cache,200,1722.165,280.355,7.915,5.01,0.035
cache-counts,TwitterStatus,Unmarshal,0,before,3,27251383.666666668,4536125.666666667,180304.33333333334,16600.666666666668,7502.333333333333
cache-counts,TwitterStatus,Unmarshal,0,cache,3,27266562.666666668,4537567.0,181515.0,16603.0,7503.333333333333
cache-counts,TwitterStatus,Unmarshal,1,cache,3,27260792.666666668,4537051.333333333,180997.33333333334,16605.0,7504.0
cache-counts,TwitterStatus,Unmarshal,1,before,3,27274641.0,4538566.0,183283.0,16600.666666666668,7502.333333333333
cache-counts,TwitterStatus,Unmarshal,2,before,3,27262099.666666668,4537430.333333333,181896.33333333334,16600.666666666668,7502.333333333333
cache-counts,TwitterStatus,Unmarshal,2,cache,3,27281764.0,4538763.333333333,181925.0,16603.333333333332,7503.666666666667
cache-counts,GolangSource,Unmarshal,0,before,3,167983532.0,29010277.0,784326.3333333334,112586.0,69140.0
cache-counts,GolangSource,Unmarshal,0,cache,3,167976793.0,29009277.666666668,784414.0,112585.66666666667,69138.0
cache-counts,GolangSource,Unmarshal,1,cache,3,167975211.33333334,29009206.0,784482.3333333334,112589.33333333333,69140.33333333333
cache-counts,GolangSource,Unmarshal,1,before,3,167983730.0,29010299.0,784324.0,112586.0,69140.0
cache-counts,GolangSource,Unmarshal,2,before,3,167983982.33333334,29010377.333333332,784137.3333333334,112586.0,69140.0
cache-counts,GolangSource,Unmarshal,2,cache,3,167975645.66666666,29009130.333333332,784348.3333333334,112585.66666666667,69138.0
