BenchmarkJSON/EscapeRuns/Unmarshal    80030	      3351 ns/op	1232.63 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    70347	      2941 ns/op	1404.07 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    72921	      2814 ns/op	1467.42 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    83887	      2826 ns/op	1461.50 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    46855	      4722 ns/op	 874.54 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    45394	      7441 ns/op	 555.01 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    71124	      3182 ns/op	1297.95 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    82119	      3115 ns/op	1325.89 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    84650	      2909 ns/op	1419.94 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   114098	      1995 ns/op	2078.48 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   109450	      1965 ns/op	2109.72 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   125440	      1893 ns/op	2190.31 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   124966	      1990 ns/op	2083.05 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    68442	      3269 ns/op	1268.24 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   113762	      2139 ns/op	1938.18 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    86780	      2401 ns/op	1726.45 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    81740	      2447 ns/op	1694.26 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   100090	      3006 ns/op	1379.08 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    93873	      2498 ns/op	1659.92 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  14874973 ns/op	 130.45 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       14	  16265282 ns/op	 119.30 MB/s	  390508 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  15282631 ns/op	 126.97 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       13	  18630461 ns/op	 104.16 MB/s	  390547 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       13	  17587157 ns/op	 110.33 MB/s	  390547 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  15634804 ns/op	 124.11 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  14855178 ns/op	 130.63 MB/s	  390476 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  14869333 ns/op	 130.50 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       16	  16396526 ns/op	 118.35 MB/s	  390447 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  16348213 ns/op	 118.70 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      399	    640995 ns/op	  65.62 MB/s	   59589 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      588	    407362 ns/op	 103.25 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      589	    440462 ns/op	  95.50 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      577	    414184 ns/op	 101.55 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      578	    443958 ns/op	  94.74 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      598	    404064 ns/op	 104.10 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      566	    460964 ns/op	  91.25 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      591	    399898 ns/op	 105.18 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      478	    461953 ns/op	  91.05 MB/s	   59586 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      595	    403621 ns/op	 104.21 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3141	     82567 ns/op	 219.51 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2858	     77402 ns/op	 234.15 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     1628	    146273 ns/op	 123.91 MB/s	   15477 B/op	      49 allocs/op
