BenchmarkJSON/ASCII8/Unmarshal  2427680	       141.5 ns/op	  70.65 MB/s	       142.2 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2376272	       147.7 ns/op	  67.70 MB/s	       148.1 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2703984	       133.3 ns/op	  75.03 MB/s	       133.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2639251	       134.1 ns/op	  74.58 MB/s	       134.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2696036	       139.8 ns/op	  71.54 MB/s	       140.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2385771	       143.8 ns/op	  69.54 MB/s	       144.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2577436	       137.1 ns/op	  72.94 MB/s	       137.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2833363 ns/op	 222.88 MB/s	   2840278 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3039738 ns/op	 207.75 MB/s	   3050740 cpu-ns/op	  209442 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      127	   2776219 ns/op	 227.47 MB/s	   2783063 cpu-ns/op	  209428 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      127	   2813517 ns/op	 224.46 MB/s	   2817976 cpu-ns/op	  209427 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      121	   2934505 ns/op	 215.20 MB/s	   2942843 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2802383 ns/op	 225.35 MB/s	   2809675 cpu-ns/op	  209429 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      120	   2905264 ns/op	 217.37 MB/s	   2890333 cpu-ns/op	  209432 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      122	   2961131 ns/op	 213.27 MB/s	   2967967 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      129	   2779256 ns/op	 227.22 MB/s	   2785550 cpu-ns/op	  209428 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      134	   2789929 ns/op	 226.35 MB/s	   2795052 cpu-ns/op	  209425 B/op	    2533 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14278157 ns/op	 135.90 MB/s	  14309917 cpu-ns/op	  389949 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14790457 ns/op	 131.20 MB/s	  14836708 cpu-ns/op	  389948 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  14546114 ns/op	 133.40 MB/s	  14582545 cpu-ns/op	  389975 B/op	   11673 allocs/op
