BenchmarkJSON/UTF8Emoji/Marshal   119007	      2528 ns/op	1621.35 MB/s	      2541 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   135466	      2643 ns/op	1550.44 MB/s	      2657 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   127713	      2609 ns/op	1570.43 MB/s	      2621 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   119702	      2728 ns/op	1502.29 MB/s	      2739 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   124858	      2661 ns/op	1540.12 MB/s	      2667 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   105171	      3134 ns/op	1307.43 MB/s	      3146 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   131505	      2558 ns/op	1602.14 MB/s	      2579 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   136286	      2778 ns/op	1474.94 MB/s	      2790 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    73094	      4728 ns/op	 866.80 MB/s	      4766 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    67645	      5045 ns/op	 812.30 MB/s	      5077 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    76491	      4668 ns/op	 877.96 MB/s	      4685 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    76620	      4478 ns/op	 915.09 MB/s	      4498 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    70023	      4601 ns/op	 890.76 MB/s	      4622 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    63844	      4855 ns/op	 844.13 MB/s	      4873 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    70598	      4843 ns/op	 846.13 MB/s	      4824 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    65919	      4669 ns/op	 877.73 MB/s	      4712 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    74830	      4589 ns/op	 893.06 MB/s	      4606 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    71082	      4522 ns/op	 906.16 MB/s	      4541 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    54672	      6560 ns/op	1561.27 MB/s	      6599 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    50972	      6205 ns/op	1650.59 MB/s	      6238 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    49615	      6642 ns/op	1541.94 MB/s	      6689 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    48396	      6541 ns/op	1565.82 MB/s	      6577 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    55162	      6388 ns/op	1603.29 MB/s	      6439 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    48906	      7472 ns/op	1370.77 MB/s	      7514 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    56132	      6584 ns/op	1555.58 MB/s	      6635 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    54331	      7034 ns/op	1456.07 MB/s	      7060 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    57056	      6719 ns/op	1524.41 MB/s	      6752 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    57243	      5957 ns/op	1719.38 MB/s	      5980 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    32713	     10883 ns/op	 941.14 MB/s	     10979 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    31245	     10696 ns/op	 957.56 MB/s	     10743 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    30877	     10898 ns/op	 939.84 MB/s	     10919 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    31869	     11430 ns/op	 896.06 MB/s	     11471 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    12834	     27493 ns/op	 372.54 MB/s	     27581 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    10000	     35755 ns/op	 286.45 MB/s	     36131 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    29690	     11550 ns/op	 886.78 MB/s	     11588 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    33664	     10790 ns/op	 949.21 MB/s	     10828 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    31834	     11065 ns/op	 925.62 MB/s	     11112 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    34179	     10854 ns/op	 943.66 MB/s	     10918 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    21928	     16522 ns/op	1096.97 MB/s	     16578 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    22431	     15725 ns/op	1152.53 MB/s	     15717 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    23542	     15389 ns/op	1177.76 MB/s	     15445 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    20503	     17805 ns/op	1017.93 MB/s	     17036 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    21289	     16805 ns/op	1078.48 MB/s	     16929 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    21096	     17217 ns/op	1052.65 MB/s	     17293 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    21379	     16084 ns/op	1126.80 MB/s	     16217 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    21054	     17079 ns/op	1061.18 MB/s	     17166 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    23424	     15848 ns/op	1143.61 MB/s	     15915 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    23032	     16333 ns/op	1109.64 MB/s	     16386 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    10292	     33778 ns/op	 536.57 MB/s	     33971 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    10000	     30928 ns/op	 586.01 MB/s	     31040 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9554	     34106 ns/op	 531.40 MB/s	     34253 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    11077	     35788 ns/op	 506.42 MB/s	     35926 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    10000	     31259 ns/op	 579.80 MB/s	     31176 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    10000	     30953 ns/op	 585.53 MB/s	     31074 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    11311	     31704 ns/op	 571.67 MB/s	     31985 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    10000	     32019 ns/op	 566.04 MB/s	     32153 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    10000	     31943 ns/op	 567.39 MB/s	     32079 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9980	     32656 ns/op	 555.00 MB/s	     32686 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      258	   1318190 ns/op	 479.08 MB/s	   1321674 cpu-ns/op	  519917 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      272	   1342434 ns/op	 470.42 MB/s	   1346029 cpu-ns/op	  519410 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      232	   1412114 ns/op	 447.21 MB/s	   1415530 cpu-ns/op	  521021 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      276	   1386200 ns/op	 455.57 MB/s	   1391076 cpu-ns/op	  519274 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      253	   1332824 ns/op	 473.82 MB/s	   1336933 cpu-ns/op	  520111 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      258	   1333721 ns/op	 473.50 MB/s	   1337194 cpu-ns/op	  519917 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      264	   1284620 ns/op	 491.60 MB/s	   1288996 cpu-ns/op	  519693 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      240	   1377767 ns/op	 458.36 MB/s	   1384329 cpu-ns/op	  520655 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      274	   1314797 ns/op	 480.31 MB/s	   1319398 cpu-ns/op	  519342 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      240	   1357411 ns/op	 465.23 MB/s	   1360121 cpu-ns/op	  520655 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      123	   3069461 ns/op	 205.74 MB/s	   3101797 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2734100 ns/op	 230.98 MB/s	   2743969 cpu-ns/op	  209429 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      129	   2733098 ns/op	 231.06 MB/s	   2740806 cpu-ns/op	  209428 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2791277 ns/op	 226.25 MB/s	   2800238 cpu-ns/op	  209431 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      122	   2883457 ns/op	 219.01 MB/s	   2889607 cpu-ns/op	  209433 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      133	   2688570 ns/op	 234.89 MB/s	   2687977 cpu-ns/op	  209427 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3012928 ns/op	 209.60 MB/s	   3016770 cpu-ns/op	  209445 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      134	   2676533 ns/op	 235.94 MB/s	   2683179 cpu-ns/op	  209427 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      124	   2821285 ns/op	 223.84 MB/s	   2828306 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   7748972 ns/op	  81.50 MB/s	   7760530 cpu-ns/op	  209447 B/op	    2533 allocs/op
BenchmarkJSON/Records/Marshal     2478	    153400 ns/op	 188.34 MB/s	    154187 cpu-ns/op	   32831 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2583	    150173 ns/op	 192.38 MB/s	    150759 cpu-ns/op	   32829 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2655	    150977 ns/op	 191.36 MB/s	    151274 cpu-ns/op	   32827 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2508	    144003 ns/op	 200.63 MB/s	    144262 cpu-ns/op	   32831 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2443	    143231 ns/op	 201.71 MB/s	    143431 cpu-ns/op	   32832 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2473	    148302 ns/op	 194.81 MB/s	    148742 cpu-ns/op	   32831 B/op	       1 allocs/op
