BenchmarkJSON/UTF8Emoji/Marshal    93610	      3426 ns/op	1196.09 MB/s	      3444 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    92148	      3609 ns/op	1135.34 MB/s	      3632 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    99258	      3274 ns/op	1251.66 MB/s	      3291 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    99633	      3276 ns/op	1250.98 MB/s	      3288 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   105501	      3449 ns/op	1188.30 MB/s	      3461 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    98382	      3319 ns/op	1234.73 MB/s	      3344 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal    96296	      3588 ns/op	1142.18 MB/s	      3605 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Marshal   105168	      3460 ns/op	1184.27 MB/s	      3473 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    57460	      5891 ns/op	 695.63 MB/s	      5911 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    57342	      6054 ns/op	 676.95 MB/s	      6085 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    57429	      6676 ns/op	 613.84 MB/s	      6711 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    54196	      6556 ns/op	 625.03 MB/s	      6583 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    55237	      6180 ns/op	 663.13 MB/s	      6218 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    53151	      6402 ns/op	 640.13 MB/s	      6470 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    53734	      6164 ns/op	 664.79 MB/s	      6188 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    56961	      6044 ns/op	 678.01 MB/s	      6071 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    49879	      6572 ns/op	 623.54 MB/s	      6607 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    52767	      6471 ns/op	 633.26 MB/s	      6499 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    35197	      8866 ns/op	1155.18 MB/s	      8910 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    36523	      8794 ns/op	1164.63 MB/s	      8838 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    43345	      8426 ns/op	1215.58 MB/s	      8465 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    39693	      8758 ns/op	1169.43 MB/s	      8869 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    38326	      8655 ns/op	1183.43 MB/s	      8698 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    39933	      8274 ns/op	1237.85 MB/s	      8307 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    37264	      8644 ns/op	1184.86 MB/s	      8694 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    41068	      8507 ns/op	1203.89 MB/s	      8535 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    41331	      8793 ns/op	1164.82 MB/s	      8824 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    39060	      8484 ns/op	1207.21 MB/s	      8514 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    22652	     16457 ns/op	 622.36 MB/s	     16514 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    22460	     15920 ns/op	 643.34 MB/s	     15985 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    24206	     15498 ns/op	 660.86 MB/s	     15555 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    23462	     15612 ns/op	 656.03 MB/s	     15672 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    22155	     15927 ns/op	 643.04 MB/s	     15957 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    21937	     16231 ns/op	 631.01 MB/s	     16307 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    20871	     16610 ns/op	 616.62 MB/s	     16694 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    23954	     15085 ns/op	 678.96 MB/s	     15154 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    20647	     17147 ns/op	 597.31 MB/s	     17233 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    21548	     15880 ns/op	 644.97 MB/s	     15941 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    16237	     21373 ns/op	 847.98 MB/s	     21467 cpu-ns/op	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    17275	     20274 ns/op	 893.93 MB/s	     20343 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    18344	     20807 ns/op	 871.06 MB/s	     20866 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    16897	     20520 ns/op	 883.23 MB/s	     20588 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    18063	     20461 ns/op	 885.78 MB/s	     20523 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    14379	     23660 ns/op	 766.03 MB/s	     23726 cpu-ns/op	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    16644	     22529 ns/op	 804.47 MB/s	     23301 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    18980	     19529 ns/op	 928.03 MB/s	     19586 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    18182	     19554 ns/op	 926.89 MB/s	     19591 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    17986	     20511 ns/op	 883.60 MB/s	     20602 cpu-ns/op	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8865	     37941 ns/op	 477.69 MB/s	     38081 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7929	     39324 ns/op	 460.89 MB/s	     39476 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9772	     40118 ns/op	 451.76 MB/s	     40229 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9151	     39510 ns/op	 458.71 MB/s	     39677 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8312	     40077 ns/op	 452.23 MB/s	     40552 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9460	     38214 ns/op	 474.28 MB/s	     38414 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8484	     38833 ns/op	 466.72 MB/s	     38855 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9298	     45791 ns/op	 395.80 MB/s	     45950 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9440	     37810 ns/op	 479.35 MB/s	     37919 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9386	     39004 ns/op	 464.67 MB/s	     39196 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      267	   1280282 ns/op	 493.26 MB/s	   1283618 cpu-ns/op	  519585 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      262	   1347788 ns/op	 468.56 MB/s	   1350615 cpu-ns/op	  519766 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      165	   1895242 ns/op	 333.21 MB/s	   1900006 cpu-ns/op	  525467 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      283	   1276488 ns/op	 494.73 MB/s	   1278788 cpu-ns/op	  519047 B/op	      89 allocs/op
