BenchmarkJSON/TwitterStatus/Unmarshal      136	   2612411 ns/op	 241.74 MB/s	   2621713 cpu-ns/op	  209353 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2726206 ns/op	 231.65 MB/s	   2730223 cpu-ns/op	  209355 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3397856 ns/op	 185.86 MB/s	   3424770 cpu-ns/op	  209373 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      136	   2719305 ns/op	 232.23 MB/s	   2722757 cpu-ns/op	  209354 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      122	   2967114 ns/op	 212.84 MB/s	   2976705 cpu-ns/op	  209360 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   4908645 ns/op	 128.65 MB/s	   4927190 cpu-ns/op	  209372 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      115	   3298515 ns/op	 191.45 MB/s	   3306670 cpu-ns/op	  209363 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      128	   2988363 ns/op	 211.32 MB/s	   2977539 cpu-ns/op	  209359 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      145	   2454937 ns/op	 110.15 MB/s	   2461090 cpu-ns/op	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      146	   2445564 ns/op	 110.57 MB/s	   2451288 cpu-ns/op	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      129	   2698942 ns/op	 100.19 MB/s	   2708380 cpu-ns/op	      43 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      144	   2769184 ns/op	  97.65 MB/s	   2775861 cpu-ns/op	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      145	   2492745 ns/op	 108.48 MB/s	   2498703 cpu-ns/op	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      133	   2765202 ns/op	  97.79 MB/s	   2771489 cpu-ns/op	      41 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      124	   3010159 ns/op	  89.83 MB/s	   3019339 cpu-ns/op	      44 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      144	   2528785 ns/op	 106.93 MB/s	   2536896 cpu-ns/op	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      138	   2575446 ns/op	 104.99 MB/s	   2584167 cpu-ns/op	      40 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      146	   2483231 ns/op	 108.89 MB/s	   2470007 cpu-ns/op	      38 B/op	       0 allocs/op
