BenchmarkJSON/ASCII32/Unmarshal  2651433	       135.9 ns/op	 250.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2501418	       155.0 ns/op	 219.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2102216	       163.8 ns/op	 207.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2629712	       136.5 ns/op	 249.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2439355	       138.9 ns/op	 244.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2271918	       154.5 ns/op	 220.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2676133	       137.1 ns/op	 248.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Marshal  1491784	       227.0 ns/op	1136.60 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1628498	       223.4 ns/op	1154.67 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1414728	       244.6 ns/op	1054.73 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1412152	       244.9 ns/op	1053.70 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1471909	       404.3 ns/op	 638.20 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   809296	       403.1 ns/op	 640.09 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1554147	       259.1 ns/op	 995.66 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1571966	       225.0 ns/op	1146.50 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1660408	       212.6 ns/op	1213.81 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1516707	       233.2 ns/op	1106.17 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2323873	       162.1 ns/op	1591.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2238090	       165.6 ns/op	1557.56 MB/s	       0 B/op	       0 allocs/op
