BenchmarkJSON/EscapeRuns/Unmarshal    20560	     10437 ns/op	 395.69 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    37957	      6137 ns/op	 672.93 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    35353	      6560 ns/op	 629.55 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    30498	      7607 ns/op	 542.91 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    31180	      7925 ns/op	 521.15 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    18811	     11343 ns/op	 364.09 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    25915	      9510 ns/op	 434.27 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    28605	      7985 ns/op	 517.19 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    21927	      9372 ns/op	 440.69 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   113152	      2512 ns/op	1650.59 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    86360	      2350 ns/op	1764.46 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    64972	      5170 ns/op	 802.01 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    93805	      2225 ns/op	1863.73 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   109809	      2083 ns/op	1990.41 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    96904	      2519 ns/op	1645.57 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    80916	      5201 ns/op	 797.14 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   135862	      2032 ns/op	2039.98 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal     7190	     28508 ns/op	 145.44 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    99944	      2124 ns/op	1952.19 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       14	  15588374 ns/op	 124.48 MB/s	  390508 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       14	  23357392 ns/op	  83.08 MB/s	  390508 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       16	  15588262 ns/op	 124.48 MB/s	  390446 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       14	  16153694 ns/op	 120.13 MB/s	  390509 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       16	  15389346 ns/op	 126.09 MB/s	  390447 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       13	  15697388 ns/op	 123.62 MB/s	  390547 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       14	  15072758 ns/op	 128.74 MB/s	  390508 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       10	  21301664 ns/op	  91.09 MB/s	  390695 B/op	   11709 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       13	  17258356 ns/op	 112.44 MB/s	  390547 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       13	  17628139 ns/op	 110.08 MB/s	  390547 B/op	   11708 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      572	    423805 ns/op	  99.25 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      415	    492440 ns/op	  85.42 MB/s	   59589 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      596	    412929 ns/op	 101.86 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      583	    427843 ns/op	  98.31 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      594	    436084 ns/op	  96.45 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      536	    516647 ns/op	  81.41 MB/s	   59585 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      544	    433569 ns/op	  97.01 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      495	    549963 ns/op	  76.48 MB/s	   59586 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      440	    674339 ns/op	  62.38 MB/s	   59588 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      590	    404395 ns/op	 104.01 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2956	     93002 ns/op	 194.88 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     1939	    112045 ns/op	 161.76 MB/s	   15476 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2073	    112767 ns/op	 160.72 MB/s	   15476 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2204	    101963 ns/op	 177.75 MB/s	   15476 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2632	    102141 ns/op	 177.44 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2863	     79078 ns/op	 229.19 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2769	     78227 ns/op	 231.69 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2667	     80205 ns/op	 225.97 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3033	     82497 ns/op	 219.69 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2918	     82398 ns/op	 219.96 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       44	   5250445 ns/op	 120.28 MB/s	  209464 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       80	   2897689 ns/op	 217.94 MB/s	  209391 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       88	   2931910 ns/op	 215.39 MB/s	  209384 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       90	   3120543 ns/op	 202.37 MB/s	  209381 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       79	   3033203 ns/op	 208.20 MB/s	  209392 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       82	   3181600 ns/op	 198.49 MB/s	  209389 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       84	   3043856 ns/op	 207.47 MB/s	  209386 B/op	    2530 allocs/op
