BenchmarkJSON/EscapeRuns/Unmarshal     4564	     51865 ns/op	  79.63 MB/s	    9729 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    10298	     21385 ns/op	 193.12 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    18453	     13553 ns/op	 304.72 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    17932	     16547 ns/op	 249.59 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    14481	     23752 ns/op	 173.88 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    14287	     15024 ns/op	 274.90 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    15961	     12636 ns/op	 326.85 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal     8424	     33595 ns/op	 122.93 MB/s	    9729 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    15712	     14310 ns/op	 288.60 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    10000	     20237 ns/op	 204.87 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    26304	      8499 ns/op	 487.82 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    29613	      8680 ns/op	 477.65 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    12237	     18945 ns/op	 218.84 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    20749	      9705 ns/op	 427.19 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    23028	     10320 ns/op	 401.76 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    10210	     20068 ns/op	 206.60 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    21843	      9400 ns/op	 441.08 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    26952	     10459 ns/op	 396.41 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    20290	     11532 ns/op	 359.53 MB/s	    4864 B/op	       1 allocs/op
