BenchmarkJSON/UTF8CJK/Unmarshal    26412	     13582 ns/op	 622.14 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    26859	     13718 ns/op	 615.98 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    23089	     14838 ns/op	 569.50 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    24589	     14520 ns/op	 581.97 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    24126	     15361 ns/op	 550.09 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    12213	     26745 ns/op	 315.95 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    18792	     16592 ns/op	 509.29 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    23930	     14926 ns/op	 566.13 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    25206	     13650 ns/op	 619.06 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    51025	      6232 ns/op	 657.52 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    53978	      6136 ns/op	 667.81 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    56385	      6189 ns/op	 662.10 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    54374	      6402 ns/op	 640.11 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    51441	      6432 ns/op	 637.12 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    56733	      6120 ns/op	 669.59 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    56550	      6130 ns/op	 668.54 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    52858	      7070 ns/op	 579.66 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    36655	      9091 ns/op	 450.79 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    49759	      6870 ns/op	 596.51 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    17264	     24830 ns/op	 412.48 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    11900	     33988 ns/op	 301.34 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    19048	     18171 ns/op	 563.63 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    17544	     18474 ns/op	 554.39 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    21018	     16276 ns/op	 629.29 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    21111	     16276 ns/op	 629.27 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    21322	     16476 ns/op	 621.62 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    20550	     16740 ns/op	 611.84 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    18879	     17802 ns/op	 575.34 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    21967	     15801 ns/op	 648.17 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7730	     40471 ns/op	 447.83 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     6904	     44159 ns/op	 410.43 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9594	     41746 ns/op	 434.15 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7698	     39635 ns/op	 457.28 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8946	     45706 ns/op	 396.53 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7192	     44750 ns/op	 405.01 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     4388	    123758 ns/op	 146.45 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7845	     41877 ns/op	 432.79 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7972	     46137 ns/op	 392.83 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7569	     44106 ns/op	 410.92 MB/s	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      704	    476522 ns/op	  88.27 MB/s	   59581 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      435	    980145 ns/op	  42.91 MB/s	   59588 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      914	    391731 ns/op	 107.37 MB/s	   59579 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      766	    402364 ns/op	 104.54 MB/s	   59580 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      642	    566903 ns/op	  74.20 MB/s	   59582 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      656	    556900 ns/op	  75.53 MB/s	   59582 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      843	    385740 ns/op	 109.04 MB/s	   59579 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      888	    408891 ns/op	 102.87 MB/s	   59579 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      813	    437229 ns/op	  96.20 MB/s	   59580 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      864	    470891 ns/op	  89.32 MB/s	   59579 B/op	     167 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  15958338 ns/op	 121.60 MB/s	  390295 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  15065715 ns/op	 128.80 MB/s	  390294 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14676405 ns/op	 132.22 MB/s	  390305 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       19	  17811215 ns/op	 108.95 MB/s	  390376 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  19401065 ns/op	 100.02 MB/s	  390326 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  15004630 ns/op	 129.32 MB/s	  390305 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  14291161 ns/op	 135.78 MB/s	  390293 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  14631854 ns/op	 132.62 MB/s	  390333 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14373641 ns/op	 135.00 MB/s	  390306 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14798179 ns/op	 131.13 MB/s	  390305 B/op	   11708 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      128	   2771555 ns/op	 227.86 MB/s	  209359 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       96	   4052239 ns/op	 155.84 MB/s	  209376 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2954061 ns/op	 213.78 MB/s	  209358 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      108	   3338634 ns/op	 189.15 MB/s	  209368 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      136	   2631788 ns/op	 239.96 MB/s	  209355 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      123	   2847226 ns/op	 221.80 MB/s	  209360 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      124	   2859506 ns/op	 220.85 MB/s	  209360 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      134	   2666015 ns/op	 236.88 MB/s	  209354 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      121	   2894610 ns/op	 218.17 MB/s	  209362 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      129	   2718135 ns/op	 232.33 MB/s	  209358 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      144	   2493385 ns/op	 108.45 MB/s	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      138	   2617954 ns/op	 103.29 MB/s	      40 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      140	   2518436 ns/op	 107.37 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      144	   2476199 ns/op	 109.20 MB/s	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      136	   2563628 ns/op	 105.48 MB/s	      40 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      142	   2497554 ns/op	 108.27 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      144	   2502392 ns/op	 108.06 MB/s	      38 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      132	   2751355 ns/op	  98.28 MB/s	      42 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      141	   2516294 ns/op	 107.46 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      140	   2606119 ns/op	 103.76 MB/s	      39 B/op	       0 allocs/op
